time,y
1433195023.800,0.193
1433195023.900,0.198
1433195024.000,0.203
1433195024.100,0.208
1433195024.200,0.214
1433195024.300,0.220
1433195024.400,0.225
1433195024.500,0.231
1433195024.600,0.237
1433195024.700,0.244
1433195024.800,0.250
1433195024.900,0.256
1433195025.000,0.263
1433195025.100,0.271
1433195025.200,0.280
1433195025.300,0.288
1433195025.400,0.297
1433195025.500,0.306
1433195025.600,0.316
1433195025.700,0.325
1433195025.800,0.335
1433195025.900,0.344
1433195026.000,0.354
1433195026.100,0.362
1433195026.200,0.371
1433195026.300,0.379
1433195026.400,0.388
1433195026.500,0.396
1433195026.600,0.405
1433195026.700,0.414
1433195026.800,0.423
1433195026.900,0.431
1433195027.000,0.440
1433195027.100,0.448
1433195027.200,0.455
1433195027.300,0.462
1433195027.400,0.469
1433195027.500,0.476
1433195027.600,0.484
1433195027.700,0.491
1433195027.800,0.498
1433195027.900,0.506
1433195028.000,0.513
1433195028.100,0.518
1433195028.200,0.523
1433195028.300,0.529
1433195028.400,0.534
1433195028.500,0.539
1433195028.600,0.544
1433195028.700,0.550
1433195028.800,0.555
1433195028.900,0.560
1433195029.000,0.565
1433195029.100,0.568
1433195029.200,0.571
1433195029.300,0.574
1433195029.400,0.577
1433195029.500,0.580
1433195029.600,0.582
1433195029.700,0.585
1433195029.800,0.588
1433195029.900,0.591
1433195030.000,0.594
1433195030.100,0.597
1433195030.200,0.600
1433195030.300,0.604
1433195030.400,0.607
1433195030.500,0.611
1433195030.600,0.614
1433195030.700,0.617
1433195030.800,0.621
1433195030.900,0.624
1433195031.000,0.627
1433195031.100,0.630
1433195031.200,0.632
1433195031.300,0.635
1433195031.400,0.637
1433195031.500,0.640
1433195031.600,0.642
1433195031.700,0.644
1433195031.800,0.647
1433195031.900,0.649
1433195032.000,0.652
1433195032.100,0.654
1433195032.200,0.656
1433195032.300,0.659
1433195032.400,0.661
1433195032.500,0.664
1433195032.600,0.666
1433195032.700,0.668
1433195032.800,0.671
1433195032.900,0.673
1433195033.000,0.675
1433195033.100,0.678
1433195033.200,0.680
1433195033.300,0.682
1433195033.400,0.684
1433195033.500,0.686
1433195033.600,0.688
1433195033.700,0.690
1433195033.800,0.692
1433195033.900,0.695
1433195034.000,0.697
1433195034.100,0.697
1433195034.200,0.698
1433195034.300,0.699
1433195034.400,0.700
1433195034.500,0.701
1433195034.600,0.702
1433195034.700,0.702
1433195034.800,0.703
1433195034.900,0.704
1433195035.000,0.705
1433195035.100,0.705
1433195035.200,0.705
1433195035.300,0.705
1433195035.400,0.705
1433195035.500,0.705
1433195035.600,0.705
1433195035.700,0.705
1433195035.800,0.705
1433195035.900,0.705
1433195036.000,0.705
1433195036.100,0.706
1433195036.200,0.706
1433195036.300,0.707
1433195036.400,0.707
1433195036.500,0.707
1433195036.600,0.708
1433195036.700,0.708
1433195036.800,0.708
1433195036.900,0.709
1433195037.000,0.709
1433195037.100,0.710
1433195037.200,0.711
1433195037.300,0.712
1433195037.400,0.712
1433195037.500,0.713
1433195037.600,0.714
1433195037.700,0.715
1433195037.800,0.716
1433195037.900,0.716
1433195038.000,0.717
1433195038.100,0.718
1433195038.200,0.720
1433195038.300,0.721
1433195038.400,0.722
1433195038.500,0.723
1433195038.600,0.724
1433195038.700,0.725
1433195038.800,0.726
1433195038.900,0.727
1433195039.000,0.728
1433195039.100,0.730
1433195039.200,0.731
1433195039.300,0.733
1433195039.400,0.734
1433195039.500,0.736
1433195039.600,0.737
1433195039.700,0.739
1433195039.800,0.740
1433195039.900,0.742
1433195040.000,0.743
1433195040.100,0.743
1433195040.200,0.743
1433195040.300,0.742
1433195040.400,0.742
1433195040.500,0.742
1433195040.600,0.741
1433195040.700,0.741
1433195040.800,0.740
1433195040.900,0.740
1433195041.000,0.740
1433195041.100,0.739
1433195041.200,0.738
1433195041.300,0.737
1433195041.400,0.736
1433195041.500,0.735
1433195041.600,0.735
1433195041.700,0.734
1433195041.800,0.733
1433195041.900,0.732
1433195042.000,0.731
1433195042.100,0.729
1433195042.200,0.728
1433195042.300,0.727
1433195042.400,0.725
1433195042.500,0.724
1433195042.600,0.722
1433195042.700,0.721
1433195042.800,0.719
1433195042.900,0.718
1433195043.000,0.716
1433195043.100,0.716
1433195043.200,0.717
1433195043.300,0.717
1433195043.400,0.718
1433195043.500,0.718
1433195043.600,0.718
1433195043.700,0.719
1433195043.800,0.719
1433195043.900,0.719
1433195044.000,0.720
1433195044.100,0.723
1433195044.200,0.725
1433195044.300,0.728
1433195044.400,0.731
1433195044.500,0.734
1433195044.600,0.737
1433195044.700,0.740
1433195044.800,0.742
1433195044.900,0.745
1433195045.000,0.748
1433195045.100,0.754
1433195045.200,0.760
1433195045.300,0.767
1433195045.400,0.773
1433195045.500,0.779
1433195045.600,0.785
1433195045.700,0.791
1433195045.800,0.797
1433195045.900,0.802
1433195046.000,0.808
1433195046.100,0.814
1433195046.200,0.819
1433195046.300,0.825
1433195046.400,0.830
1433195046.500,0.835
1433195046.600,0.840
1433195046.700,0.845
1433195046.800,0.850
1433195046.900,0.855
1433195047.000,0.860
1433195047.100,0.863
1433195047.200,0.867
1433195047.300,0.870
1433195047.400,0.873
1433195047.500,0.877
1433195047.600,0.880
1433195047.700,0.883
1433195047.800,0.886
1433195047.900,0.889
1433195048.000,0.892
1433195048.100,0.897
1433195048.200,0.903
1433195048.300,0.908
1433195048.400,0.913
1433195048.500,0.917
1433195048.600,0.922
1433195048.700,0.927
1433195048.800,0.931
1433195048.900,0.936
1433195049.000,0.940
1433195049.100,0.942
1433195049.200,0.945
1433195049.300,0.947
1433195049.400,0.949
1433195049.500,0.952
1433195049.600,0.954
1433195049.700,0.956
1433195049.800,0.958
1433195049.900,0.960
1433195050.000,0.962
1433195050.100,0.964
1433195050.200,0.966
1433195050.300,0.967
1433195050.400,0.969
1433195050.500,0.971
1433195050.600,0.972
1433195050.700,0.974
1433195050.800,0.976
1433195050.900,0.977
1433195051.000,0.978
1433195051.100,0.979
1433195051.200,0.980
1433195051.300,0.981
1433195051.400,0.982
1433195051.500,0.983
1433195051.600,0.984
1433195051.700,0.985
1433195051.800,0.986
1433195051.900,0.986
1433195052.000,0.987
1433195052.100,0.987
1433195052.200,0.987
1433195052.300,0.986
1433195052.400,0.986
1433195052.500,0.986
1433195052.600,0.986
1433195052.700,0.985
1433195052.800,0.985
1433195052.900,0.985
1433195053.000,0.985
1433195053.100,0.984
1433195053.200,0.984
1433195053.300,0.984
1433195053.400,0.983
1433195053.500,0.983
1433195053.600,0.982
1433195053.700,0.982
1433195053.800,0.982
1433195053.900,0.981
1433195054.000,0.981
