time,y
1433195014.100,0.279
1433195014.199,0.280
1433195014.300,0.280
1433195014.400,0.281
1433195014.500,0.282
1433195014.600,0.282
1433195014.699,0.283
1433195014.800,0.284
1433195014.900,0.285
1433195015.000,0.286
1433195015.100,0.284
1433195015.199,0.283
1433195015.300,0.282
1433195015.400,0.282
1433195015.500,0.281
1433195015.600,0.280
1433195015.699,0.279
1433195015.800,0.278
1433195015.900,0.278
1433195016.000,0.277
1433195016.100,0.276
1433195016.199,0.274
1433195016.300,0.273
1433195016.400,0.272
1433195016.500,0.271
1433195016.600,0.270
1433195016.699,0.270
1433195016.800,0.269
1433195016.900,0.269
1433195017.000,0.269
1433195017.100,0.268
1433195017.199,0.268
1433195017.300,0.268
1433195017.400,0.268
1433195017.500,0.269
1433195017.600,0.270
1433195017.699,0.271
1433195017.800,0.272
1433195017.900,0.274
1433195018.000,0.276
1433195018.100,0.278
1433195018.199,0.280
1433195018.300,0.282
1433195018.400,0.285
1433195018.500,0.288
1433195018.600,0.291
1433195018.699,0.294
1433195018.800,0.298
1433195018.900,0.301
1433195019.000,0.305
1433195019.100,0.307
1433195019.199,0.310
1433195019.300,0.313
1433195019.400,0.315
1433195019.500,0.318
1433195019.600,0.321
1433195019.699,0.324
1433195019.800,0.327
1433195019.900,0.330
1433195020.000,0.333
1433195020.100,0.332
1433195020.199,0.331
1433195020.300,0.330
1433195020.400,0.329
1433195020.500,0.329
1433195020.600,0.328
1433195020.699,0.328
1433195020.800,0.328
1433195020.900,0.328
1433195021.000,0.328
1433195021.100,0.323
1433195021.199,0.319
1433195021.300,0.316
1433195021.400,0.314
1433195021.500,0.314
1433195021.600,0.315
1433195021.699,0.317
1433195021.800,0.320
1433195021.900,0.325
1433195022.000,0.331
1433195022.100,0.329
1433195022.200,0.329
1433195022.300,0.330
1433195022.400,0.331
1433195022.500,0.333
1433195022.600,0.337
1433195022.700,0.341
1433195022.800,0.346
1433195022.900,0.351
1433195023.000,0.358
1433195023.100,0.362
1433195023.200,0.367
1433195023.300,0.374
1433195023.400,0.382
1433195023.500,0.391
1433195023.600,0.402
1433195023.700,0.413
1433195023.800,0.426
1433195023.900,0.439
1433195024.000,0.453
1433195024.100,0.472
1433195024.200,0.491
1433195024.300,0.511
1433195024.400,0.532
1433195024.500,0.553
1433195024.600,0.575
1433195024.700,0.597
1433195024.800,0.619
1433195024.900,0.642
1433195025.000,0.665
1433195025.100,0.694
1433195025.200,0.723
1433195025.300,0.752
1433195025.400,0.780
1433195025.500,0.808
1433195025.600,0.834
1433195025.700,0.859
1433195025.800,0.883
1433195025.900,0.905
1433195026.000,0.925
1433195026.100,0.940
1433195026.200,0.954
1433195026.300,0.966
1433195026.400,0.977
1433195026.500,0.985
1433195026.600,0.992
1433195026.700,0.997
1433195026.800,0.999
1433195026.900,1.000
1433195027.000,0.999
1433195027.100,0.996
1433195027.200,0.993
1433195027.300,0.988
1433195027.400,0.982
1433195027.500,0.974
1433195027.600,0.966
1433195027.700,0.956
1433195027.800,0.946
1433195027.900,0.934
1433195028.000,0.922
1433195028.100,0.912
1433195028.200,0.902
1433195028.300,0.891
1433195028.400,0.881
1433195028.500,0.869
1433195028.600,0.857
1433195028.700,0.845
1433195028.800,0.833
1433195028.900,0.820
1433195029.000,0.807
1433195029.100,0.800
1433195029.200,0.794
1433195029.300,0.787
1433195029.400,0.780
1433195029.500,0.774
1433195029.600,0.767
1433195029.700,0.760
1433195029.800,0.753
1433195029.900,0.746
1433195030.000,0.738
1433195030.100,0.730
1433195030.200,0.721
1433195030.300,0.711
1433195030.400,0.702
1433195030.500,0.693
1433195030.600,0.684
1433195030.700,0.675
1433195030.800,0.665
1433195030.900,0.656
1433195031.000,0.647
1433195031.100,0.640
1433195031.200,0.633
1433195031.300,0.627
1433195031.400,0.620
1433195031.500,0.613
1433195031.600,0.607
1433195031.700,0.600
1433195031.800,0.593
1433195031.900,0.586
1433195032.000,0.580
1433195032.100,0.573
1433195032.200,0.567
1433195032.300,0.560
1433195032.400,0.554
1433195032.500,0.547
1433195032.600,0.541
